,ali_uid,ins_id,bw_c1,bw_c2,bw_c3
3563,98051,f3e38b9993d488457f5f5eaa2a0bd2f4,17965,1593.2667156578325,3054.9671619851147
3564,98051,f48975b14eb9dcbdb6aa71f47cb95e15,123725,35068.65112290149,56021.13556265831
3565,98051,f502b58ca855be142c6b991ababf1d1a,1005,91.8487515156668,468.17294298671186
3566,98051,f54f738153631f1ead2f786444e0a1c2,56525,38692.12742998479,59659.59018534981
3567,98051,f5f558ee50e75e00621b25a012eacf5f,1725,228.0394806189154,1583.8375152926892
3568,98051,f6039b9ca3b930f04e1710bdab8d39a0,57005,53218.3972290751,88938.70118882509
3569,98051,f61b7008b2569a45611688e468a7324d,28285,11781.47979095331,27168.04259782657
3570,98051,f73e58f0c2d50c25736a3654d605cb37,12925,4146.49057458373,8640.520252604038
3571,98051,f86ca5927df721577cdda93bdce70e3b,64045,58120.09309232494,102003.27675255015
3572,98051,f88b2cb5cca5b8be5c9a6ce9e9677b3d,1885,197.52705181691607,1298.3764490950853
3573,98051,f90f09880ce69fe69333a81262c3954d,15485,15627.70322605404,31224.888928653672
3574,98051,f91f43fd5ed83b2f007ec5191064b0c4,1565,122.92572730108343,570.1668902300298
3575,98051,f9764cd2e17462ad9a022f16d6ef99f5,765,15.86979938575003,105.70720539428294
3576,98051,fa3810b113fa9662f8d9f748ef45a5fc,47165,31818.619352911242,56402.748070210226
3577,98051,fa45776382f0a90cdce398249684bdf0,19005,6261.723449145568,12969.940517200159
3578,98051,fa76469d71312cea5f55374fbff9c1e7,525,68.51226369158309,621.4832493569702
3579,98051,fada5adc8de0b5251596cfae330c931d,68125,46072.455447678374,75359.49606576003
3580,98051,fb1747e1d966478acc6c83e88e883a2b,165405,86658.93800700166,131185.44634549879
3581,98051,fbefff31418e277042e42cd8b907cacb,56685,21277.607838111737,46452.48926896602
3582,98051,fc08a89baf7fc215142abbb605ea22fa,78605,61433.18637163303,85916.50953685865
3583,98051,fc50b6fa664ad91eecfb74bd23ecc30c,1485,60.579148569500006,268.45874316059053
3584,98051,fc52d4127ec9c9603a3f69314b086932,5325,40.62932076433328,79.90981587208807
3585,98051,fcd42dc5cc686ce963cdcb32b4612ea3,12365,7328.643736103841,13449.582652039826
3586,98051,fce117da6a4e47403da5a97cacd943df,3405,1583.1750884104981,4790.79890283756
3587,98051,fcf85aecf6e3f9b1d5402ebf3060f344,44685,36359.79135128577,60901.32617932744
3588,98051,fd499f1cfe98dcda7b5c6780729c14a0,1325,42.01386159008324,241.65593840181828
3589,98051,fdc050b138cea1689baef1055cf5f8f1,11485,3200.4790689975844,8118.654483295977
3590,98051,fdfbcc3cff1bf6c05d93e598c9a04975,2845,1565.3660937537475,5024.744291855022
3591,98051,feec3c1fee55286bd99b630153a618a5,2125,115.4550358246663,432.92422514408827
3592,98051,ff2c1d88666f99122203b9f0663c71db,7405,53.128484732666664,92.5013353675604
3593,98051,ff2eb3d941679dc5bd8700aacb613f1e,27245,6106.368374933344,14841.910137254745
3594,98051,ff972d4a5ab13d48921203875b77ed2f,120765,90278.73797259605,128735.5001325533
3595,89110,0007b9886b07d366f7848cdd79fb245c,23,2.962856084999998,20.257646162062883
3596,89110,002f9021fea089e1ce0168e800cb2e62,23,7.095085740749979,53.047849405556924
3597,89110,018e5e51a66d783febc53accf8929ccc,23,0.8673588209999995,6.319395862519741
3598,89110,01ba4b2b2e25d11dd319013308c4c176,23,13.382980542749975,94.81068802066147
3599,89110,0232511fd0a9cbaa1646d1aa54c20935,23,1.866967866749996,14.733878429979086
3600,89110,024ae690db36433abf374251594a4a70,111165,44.12988360191642,106.3576900586486
3601,89110,02698fd7a38189e23732e8ee3b797327,23,31.586615277000014,268.1035892944783
3602,89110,040afff35bf956c32409e08acdb4b307,23,7.163114295749989,53.20935104973614
3603,89110,0421c110de1c87fe432877b5985acb00,23,15.075515458500028,130.56165288202465
3604,89110,051b8a56de69ce6570445e9603e870b7,23,13.653421671750017,111.52518094517292
