uuid,ali_uid,nc_name,ens_region_id,status,image_id,cores,memory,storage,os_type,os_name,start_time,end_time
"190304d812e2e7a70b26f3ae39e698a9","66394","70ea2f4a1b9eb901429b3474ddf6b12d","wuhan-unicom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"efafe9374a66c60942ad910aea1e4d4c","66394","b56549cc2fd16a9040ef9743f6225cc3","hefei-cmcc","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"9130ce5f245285e31ffa3ca70543132c","66394","b6861cdf7648cacd81e4dd8494b13f67","hefei-cmcc","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"dc14742a5144a0cf8e1c65755bf3ac71","66394","08c71e77696ee22f45f13e261e704de5","hefei-cmcc","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"4a4e5d17b74a94671ede71ff70564fd3","66394","93495137bb46c9fb5b0a0c474a8ec942","wuhu-telecom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"97020588a1b07550b7f3026785e428d9","66394","74ea49748454e4a6638f9b1935e12fef","wuhu-telecom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"46037933329a8d1eba2963e3d980a5cc","66394","fbf40c459ae85c5ebba240e359d0f281","qingdao-telecom","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"09ef8ad87198229260312eabedcfd9b8","66394","ddc6589a729ecff2016f1bac34155241","qingdao-unicom-2","running","717213050a3b280a2e39d4bf3dcd56d9","32","65536","563200","linux","debian 9.9 x86_64","1595606400","1598284800"
"7d0dded745945f71b8a03bcd339d4fea","43094","bdbbbd4258bb79e32d57496e62c77ef0","xian-telecom","running","cfb50b711b64debc56b6a5a6e03a768e","1","2048","20480","linux","centos 7.5 x86_64","1590473578","4744073578"
"bace7f79c3af3ca60d4155836d76ce4a","78131","c26618774141576b553ac1d24d2e5027","shanghai-telecom-6","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"d19e8f57a54f45168c9720d9e357d131","78131","82d23a1846dc2727c1bda22d764e268f","hangzhou-telecom","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"2a482dea95cee7b33d1d96266fc4437b","78131","0f32930a9dd3107abdd38ba1306dc2d0","shanghai-cmcc-2","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"1ce254ca01be135775c1e6909987c324","78131","939673bd62088c2d26713341a896a0f8","shanghai-cmcc-2","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"a0a299d02f69e40c19367a8cb0f28466","78131","4082a7b9f1391887601f7887c718178e","shanghai-cmcc-2","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"9155e3a78e12296fa052d59c3ca10af3","78131","122fd8c21a16fa16bc9b3fc4987f553c","wuhan-telecom","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"28bfd7ca1aec056695307dcafbf6de15","78131","aebcd33f297e754ac90f4b533f080914","wuhan-telecom","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"30607568c0759517dfd6cc4bb924b724","78131","4b8885a0da32025ce2eef53fb6929834","wuhan-telecom","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"64a7f561f835191db78f22c40466c57e","78131","dee86cc5421945e1a04ce017a6803163","wuhan-telecom","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"af1bfb45176ef8595ad5eb9e251eb355","78131","8492866346d41f1c2e2e6809b6902985","wuhan-telecom","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"a0ea98ebd19152b8e8a99694268a3b3a","46473","474f8cfd80dcad6f90b03c0654ae0019","xian-telecom","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490637","4744090637"
"789afdf02adae2b288a5ab603ebfde1c","46473","5a1b1836492e00b3159b8ae20329acfe","xian-telecom","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490637","4744090637"
"8234f6140b5b03c5d7c99764c236324d","46473","091f9a1a8638c10481f1b6123efd83e9","xian-telecom","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490637","4744090637"
"d40ac3eab85cbfdcab22136000707127","46473","09b314e0e4ba922be415fccf69d47ad2","xian-unicom","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490637","4744090637"
"3c022e5e494541339bab6c2fe8f06f26","46473","bad285efcab27e058047167479ad6c34","xian-unicom","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490637","4744090637"
"c48aaa4632e2454fe4996cb922e16394","46473","35e46a4e38cf2a0512353ba28fbb6a68","xian-unicom","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490637","4744090637"
"c25b1b6c301cef74f811859219586c0f","46473","feaaf2404afd7d192f513fb47e69bb3b","xian-unicom","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490637","4744090637"
"d7a3cf8871001d4e48f2ab97c48dbf38","46473","92b4d14c1ca698f11e656010000b5440","xian-unicom","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490637","4744090637"
"d9145156c5a70abf521e00fc521bd116","78131","16a00efe9844ff1a87c0689242a25d15","wuhan-cmcc","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"69936416170f7fafdce98bf103aaab10","78131","0208e4689e164a82ef8292ab028196d5","wuhan-cmcc","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"5b2324058ccf77b100039a23a42c9c0b","78131","16a00efe9844ff1a87c0689242a25d15","wuhan-cmcc","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"f3a8d75eb08e36c4925bbd632d16effa","78131","55dc4f747bf6f62782931890d756de11","chengdu-telecom","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"6c889db4134fbae2160749e7ddde64ed","78131","55dc4f747bf6f62782931890d756de11","chengdu-telecom","running","43b047b4f2ab6abf5a05f236e2c8eb59","32","65536","409600","linux","centos 7.6 x86_64","1593187200","1595779200"
"add7fce2ccf7aded40e9e7ea3eb66c51","46473","4b03afb307bc7fae41d4fc237fc06214","xian-cmcc","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490991","4744090991"
"4aaf8374d59ac82ed2c18838595e1e6c","46473","ed7fe62795982d6909a90977a1a65dee","xian-cmcc","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490991","4744090991"
"e38d3dfd6f84ca2240afec497adbb2ad","46473","983c9da01c4d17e50ccc76dc54cc41a7","xian-cmcc","running","7bad33256eecfa7712ca2db0b2622731","1","2048","20480","linux","centos 7.3 x86_64","1590490991","4744090991"
