,vm,sea_min,sea_avg,sea_max
103,+OB1+grLDwd5BTDkdHB9a8WC4y3sXOuQOHsm9g91QGfRdEsLu7RSTXJTMo3oAfG5,0.8947544290119569,0.9988085461965931,0.985102771964423
104,+OhGf5sktjkjl55j2XCwMuALiLJaEvDu2fUj30vk5u5A5E68nV7DsnwC9TMA4VOk,0.4621912914778148,0.444743918329081,0.22730784179071617
105,+PBUeJWwMurSA6EfPz8vTIF6Kl3qrvB1g9Nrbc0F3IVdHxHXF0z4Bp7UzM7nvwy/,0.3093098611675549,0.8717098205844994,0.9460465708296719
106,+PKylSagYhEewx0+oPZSQtW4HwgtXwPk+sQA9IdW/twYmUFhSnLj/hbLOMZLQz4N,0.04178244906325046,0.04851563017313565,0.04421469491642804
107,+POay6xuUSHDIY21mOrCeBLmaoMrkfk/9TX6jB6so5Ro3k61XiT1fHTmUTAV0iga,0.04223293990970289,0.28781654128481193,0.3082765746767848
108,+PTyDhaV2jHKzuD/yTCpCqXv7A8hW+3DyXCxup6He8K+l4OcPLqhjmRyHPvSkYUu,0.05172255081324151,0.14549966539222803,0.07460587113378747
109,+PVVKS5SxmL1tS20k1X2bZmjzXIbBLQDGZMehTV84/vnz8t+T8rJcD9b0t3eyIlu,0.04327737596777537,0.18434253466980233,0.08312050666144732
110,+PYzls+dUa4iFy8JYzQS6Tr8dC6f736ns8ZNBZETsbnmIz+VgmHhxfiJ7NW0QvDi,0.07726230272590429,0.20211026942293941,0.27116019177555073
111,+QPsVMf+2KljJMwHm+ZUnx1SGNO5Pg1pO2IaGQTjnBeEfUlCGRB+wVSaS2Q9bpSA,0.1028952429469725,0.25104642327448323,0.02040919935806962
112,+QQ0L/fFmWtc1+tBDyQh3HnqSYt9DIjqHfiBwCKH0ktKCz0xziVKytm7wcHWSfN4,0.03676304543225861,0.2580761085552492,0.33255194395610876
113,+Qajevt5wH8PNTsxD74ys1wDw7ewQE9RQTY0+YPL4VQ4eZl/GKrd4bsW6huee7lw,0.014009265195962906,0.029193152767495456,0.07679598526589626
114,+QhpkelRTIErdyIl26EEiVeNRybhOK8aPtoZjPzJzYEvpTw0LUvesQ9UjX8wThsV,0.042515248446401865,0.0898223366612545,0.25829404422554114
115,+Qlzic74jyFEgdY2iUESZvU5QTfjSE8HsAAsB6NrzTPTl2k2uO8AIJsHwe98H7bX,0.019679382179009663,0.08286093922868876,0.06414715659887993
116,+Qo+1gxSZ7FlICF5A9X31n89Xs4/uqeJYmWRqqmB3Pru4ujdMTvt2RmUMz9vPi0k,0.035873875290917456,0.11565785680233731,0.4556423887142159
117,+Qu+0tdYDeViQuLqAkQNl/Mkabs/x7CYtzyD9LwRBFaqPbQl+hC15o2mzYvp3yrs,0.11924310526164028,0.16948420089541838,0.4361379755236011
118,+RIh57KMjrOfee4pe/7aQiz9+KCH4NiwxxKzOs8385ASkuvk1pEn/BKZJfjNtxRI,0.05890656235950342,0.23751827608988096,0.26749003343356137
119,+RQTtv3UNn6V3JgGQIkvFhZqFzW44m2Qi2VWaDZVZt2NGb/EjxfrglNKJ1UqxdLw,0.04982325197679682,0.11042651876146214,0.1642533697847547
120,+RRniOdl0cAn00Qpgsj15sxks8BBAMQH6vByI5QmELkoqjnIVkLA7t5rS1WSLtzF,0.023414934209416538,0.5336155564437834,0.477209990860304
121,+Rb8JPyodUTKaNpebR8wjV8uWBgE8lzXNDwyO+ruaz2IaQIVBUCXAxxES2ySBJF9,0.9100883404082625,0.9994596502453382,0.9821943341538341
122,+Rg4m8i5ByALOvD1147RtM2i9+BQekDcIWAoFBpsME7H/YomnTtg6MhzpOSW39Db,0.07322588304405664,0.15650781983020667,0.05743153952241331
